x_pixels,x_angle_deg,x_mm,profile,profile_norm,smoothed,smoothed_norm,gradient
98,-2.5885713520338083,-20.344435759087602,39144.996,0.93767744,39408.362552140345,0.9439860689947505,5.608411614892248
99,-2.5864135433964663,-20.327453759288698,39047.42,0.93534017,39413.96778155562,0.9441203363973745,5.602047215652419
100,-2.5842557274172795,-20.310471759489793,39353.953,0.9426828,39419.56664657165,0.9442544513474773,5.595682816412591
101,-2.5820979041023326,-20.29348975969089,39553.105,0.94745326,39425.159147188446,0.9443884138450592,5.589318417172763
102,-2.579940073457709,-20.276507759891985,39411.58,0.9440631,39430.745283405995,0.94452222389012,5.582954017932934
103,-2.577782235489492,-20.25952576009308,39556.88,0.9475436,39436.32505522431,0.94465588148266,5.576589618693106
104,-2.575624390203767,-20.242543760294176,39084.086,0.9362184,39441.89846264338,0.9447893866226788,5.5702252194532775
105,-2.573466537606617,-20.22556176049527,39392.09,0.9435963,39447.46550566322,0.9449227393101767,5.563860820217087
106,-2.5713086777041263,-20.208579760696367,39649.85,0.9497707,39453.026184283815,0.9450559395451535,5.557496420973621
107,-2.569150810502379,-20.191597760897462,39585.617,0.94823205,39458.580498505165,0.9451889873276093,5.5511320217337925
108,-2.566992936007461,-20.174615761098558,39670.39,0.9502627,39464.12844832728,0.9453218826575442,5.544767622497602
109,-2.5648350542254557,-20.157633761299653,39685.363,0.95062137,39469.67003375016,0.9454546255349581,5.538403223257774
110,-2.562677165162448,-20.14065176150075,39436.74,0.9446658,39475.2052547738,0.945587215959851,5.5320388240179454
111,-2.560519268824523,-20.123669761701844,39223.29,0.93955284,39480.7341113982,0.9457196539322229,5.525674424778117
112,-2.558361365217766,-20.10668776190294,39232.477,0.9397729,39486.256603623355,0.9458519394520737,5.519310025538289
113,-2.5562034543482617,-20.089705762104035,39556.676,0.9475388,39491.77273144927,0.9459840725194035,5.51294562629846
114,-2.554045536222096,-20.07272376230513,39856.68,0.9547251,39497.28249487595,0.9461160531342124,5.506581227058632
115,-2.5518876108453528,-20.055741762506226,39682.77,0.9505592,39502.78589390339,0.9462478812965003,5.500216827818804
116,-2.549729678224119,-20.038759762707322,39591.93,0.9483833,39508.28292853159,0.9463795570062671,5.493852428578975
117,-2.5475717383644794,-20.021777762908417,39459.285,0.94520587,39513.77359876055,0.9465110802635129,5.487488029339147
118,-2.5454137912725203,-20.004795763109513,39559.098,0.9475968,39519.25790459027,0.9466424510682377,5.481123630099319
119,-2.5432558369543274,-19.98781376331061,40078.64,0.9600419,39524.73584602075,0.9467736694204415,5.47475923085949
120,-2.541097875415987,-19.970831763511704,39736.527,0.95184696,39530.20742305199,0.9469047353201243,5.468394831619662
121,-2.5389399066635843,-19.9538497637128,39472.746,0.9455283,39535.672635683986,0.9470356487672861,5.462030432383472
122,-2.5367819307032065,-19.936867763913895,39796.773,0.95329005,39541.13148391675,0.947166409761927,5.455666033143643
123,-2.5346239475409393,-19.91988576411499,39738.14,0.9518856,39546.58396775027,0.9472970183040468,5.449301633900177
